"prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores"
"AT1G04830","NINJA_SE",0.223220638505258,0,"0",0.223220638505258,2.58953467318486
"AT1G04833","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.2483886181418
"AT1G04837","NINJA_SE",0.106295539888234,0,"0",0.106295539888234,2.04353210135264
"AT1G04850","NINJA_SE",0.237079843410045,0,"0",0.237079843410045,2.67377079828005
"AT1G04857","EMPTY_SE",0.151571303154866,0,"0",0.151571303154866,2.247917430712
"AT1G04860","EMPTY_SE",0.370337233236705,0,"0",0.370337233236705,3.89806486781139
"AT1G04870","NINJA_SE",0.20132808822406,1,"AT1G04870.1",1.20132808822406,3.79464048819315
"AT1G04900","NINJA_SE",0.408095824180812,0,"0",0.408095824180812,4.48291714554383
"AT1G04910","NINJA_SE",0.34152592351829,0.298182762201454,"AT1G04910.1",0.639708685719743,4.93399264029439
"AT1G04930","EMPTY_SE",0.386176646839489,0,"0",0.386176646839489,4.12161383285303
"AT1G04930","NINJA_SE",0,0.298182762201454,"AT1G04930.1,AT1G04930.2,AT1G04930.3",0.298182762201454,1.98061210358676
"AT1G04933","EMPTY_SE",0.361532624252221,0,"0",0.361532624252221,3.78459910029108
"AT1G04940","EMPTY_SE",0.0019651399620513,0,"0",0.0019651399620513,1.71967935871743
"AT1G04940","NINJA_SE",0,0.298182762201454,"AT1G04940.1",0.298182762201454,1.98042926378952
"AT1G04945","EMPTY_SE",0.201312274139813,0,"0",0.201312274139813,2.46472886029412
"AT1G04945","NINJA_SE",0,0.298182762201454,"AT1G04945.3",0.298182762201454,1.9802464577468
"AT1G04950","NINJA_SE",0.269334581415107,0,"0",0.269334581415107,2.89221435793731
"AT1G04960","EMPTY_SE",0.111134027861125,0,"0",0.111134027861125,2.06060897128038
"AT1G04960","NINJA_SE",0,1,"AT1G04960.1,AT1G04960.2",1,2.26154332700822
"AT1G04970","NINJA_SE",0.265236689667488,0,"0",0.265236689667488,2.86192636072572
"AT1G04973","EMPTY_SE",0.0296036175710594,0,"0",0.0296036175710594,1.79914458235491
"AT1G04977","NINJA_SE",0.00431933363256038,0,"0",0.00431933363256038,1.72534984719318
"AT1G04980","EMPTY_SE",0.40770113651773,0,"0",0.40770113651773,4.46751353602666
"AT1G04985","NINJA_SE",0.475970314820545,0,"0",0.475970314820545,6.11022500712048
"AT1G04990","EMPTY_SE",0.0846315753307394,0,"0",0.0846315753307394,1.96537034492236
"AT1G04990","NINJA_SE",0,0.298182762201454,"AT1G04990.1,AT1G04990.2,AT1G04990.3,AT1G04990.4,AT1G04990.5,AT1G04990.6",0.298182762201454,1.97997231195201
"AT1G05000","EMPTY_SE",0.249615094428762,0,"0",0.249615094428762,2.75232535762397
"AT1G05010","EMPTY_SE",0.0356488575143774,0,"0",0.0356488575143774,1.81474432178658
"AT1G05010","NINJA_SE",0,0.298182762201454,"AT1G05010.1",0.298182762201454,1.97978959025471
"AT1G05030","NINJA_SE",0.0271044819719524,0.298182762201454,"AT1G05030.2",0.325287244173406,2.08301776871541
"AT1G05055","NINJA_SE",0.313885098072907,0,"0",0.313885098072907,3.26058211110267
"AT1G05060","NINJA_SE",0.425195082869262,0,"0",0.425195082869262,4.79503799731784
"AT1G05065","EMPTY_SE",0.160180209496871,0,"0",0.160180209496871,2.26094746271803
"AT1G05067","NINJA_SE",0.140076903722123,0,"0",0.140076903722123,2.17642284670792
"AT1G05070","NINJA_SE",0.160545599625447,0,"0",0.160545599625447,2.26225877886745
"AT1G05073","NINJA_SE",0.122862973026661,0,"0",0.122862973026661,2.11923342882545
"AT1G05087","EMPTY_SE",0.312267197547789,0,"0",0.312267197547789,3.24676503972758
"AT1G05087","NINJA_SE",0,0.298182762201454,"AT1G05087.2",0.298182762201454,1.97951557093426
"AT1G05090","EMPTY_SE",0.312267197547789,0,"0",0.312267197547789,3.24627373836725
"AT1G05100","NINJA_SE",0.453089368953261,0,"0",0.453089368953261,5.4318268135207
"AT1G05120","NINJA_SE",0.409691880423053,0,"0",0.409691880423053,4.49607041810751
"AT1G05140","NINJA_SE",0.0631735063454793,0,"0",0.0631735063454793,1.89380296610169
"AT1G05143","EMPTY_SE",0.16685628742515,0,"0",0.16685628742515,2.30826339573919
"AT1G05150","EMPTY_SE",0.00207681319440949,0,"0",0.00207681319440949,1.71830196235483
"AT1G05153","NINJA_SE",0.122862973026661,0,"0",0.122862973026661,2.11829177980745
"AT1G05160","NINJA_SE",0.104678549244378,0,"0",0.104678549244378,2.03625836457691
"AT1G05170","EMPTY_SE",0.27715867961716,0,"0",0.27715867961716,2.94704306614465
"AT1G05180","NINJA_SE",0.289156679920098,0,"0",0.289156679920098,3.04060661894976
"AT1G05187","NINJA_SE",0.241159624955955,0,"0",0.241159624955955,2.69798151292209
"AT1G05190","NINJA_SE",0.351643844632601,1,"AT1G05190.1",1.3516438446326,7.63316135918876
"AT1G05200","EMPTY_SE",0.465677966369357,0,"0",0.465677966369357,5.77158999192898
"AT1G05205","EMPTY_SE",0.0497943455861471,0,"0",0.0497943455861471,1.85171119071253
"AT1G05205","NINJA_SE",0,0.782969885773624,"AT1G05205.1",0.782969885773624,2.08494095923028
"AT1G05207","EMPTY_SE",0.021504511995609,0,"0",0.021504511995609,1.77173060246934
"AT1G05210","NINJA_SE",0.466542647848256,0.298182762201454,"AT1G05210.1",0.76472541004971,10.7966784096628
"AT1G05213","NINJA_SE",0.342034728634452,0,"0",0.342034728634452,3.54126774513041
"AT1G05230","NINJA_SE",0.122862973026661,0,"0",0.122862973026661,2.11724648408586
"AT1G05240","NINJA_SE",0,0.298182762201454,"AT1G05240.1",0.298182762201454,1.97915032981226
"AT1G05250","EMPTY_SE",0.271776138766096,0,"0",0.271776138766096,2.9086841570063
"AT1G05250","NINJA_SE",0,0.298182762201454,"AT1G05250.1",0.298182762201454,1.97896775978968
"AT1G05260","NINJA_SE",0.304684853973886,0,"0",0.304684853973886,3.18553715940307
"AT1G05270","EMPTY_SE",0.111562419500365,0,"0",0.111562419500365,2.05882917466411
"AT1G05273","EMPTY_SE",0.406251992816154,0,"0",0.406251992816154,4.42786377708978
"AT1G05280","EMPTY_SE",0.271776138766096,0,"0",0.271776138766096,2.90769856329629
"AT1G05300","EMPTY_SE",0.464619442783301,0,"0",0.464619442783301,5.73379660563945
"AT1G05320","NINJA_SE",0,1,"AT1G05320.9",1,2.2604709973131
"AT1G05333","EMPTY_SE",0.401798992586202,0,"0",0.401798992586202,4.35063881565605
"AT1G05340","NINJA_SE",0.484518608197855,0.298182762201454,"AT1G05340.1",0.782701370399309,13.0136487716106
"AT1G05347","NINJA_SE",0.397317821701389,0,"0",0.397317821701389,4.27691387559809
"AT1G05350","EMPTY_SE",0.184416405421497,0,"0",0.184416405421497,2.37259455872595
"AT1G05360","EMPTY_SE",0.0707385829179505,0,"0",0.0707385829179505,1.91621633692108
"AT1G05360","NINJA_SE",0,0.298182762201454,"AT1G05360.1,AT1G05360.2,AT1G05360.3",0.298182762201454,1.97860272077473
"AT1G05370","EMPTY_SE",0.128886558730257,0,"0",0.128886558730257,2.12479572128956
"AT1G05380","NINJA_SE",0.287022071024009,0.298182762201454,"AT1G05380.1,AT1G05380.2,AT1G05380.3",0.585204833225463,3.9831043445971
"AT1G05385","NINJA_SE",0.0961899701961475,0,"0",0.0961899701961475,2.02846066565809
"AT1G05397","NINJA_SE",0.40007739277102,0,"0",0.40007739277102,4.31954092419209
"AT1G05400","EMPTY_SE",0.200120403136562,0,"0",0.200120403136562,2.45177142857143
"AT1G05410","NINJA_SE",0.227267358632382,0,"0",0.227267358632382,2.60446764598762
"AT1G05420","NINJA_SE",0.329922710643259,0,"0",0.329922710643259,3.4076721467715
"AT1G05430","NINJA_SE",0.418301519076778,0,"0",0.418301519076778,4.63999134854547
