"","prey","bait","Specificity_score","In_frame_score","In_frame_prey_transcripts","Sum_scores","Borda_scores","interactor","SNRFPKM"
"7831","AT3G57060","NINJA_SE",0.283155458148075,0,"0",0.283155458148075,1.84788319910418,NA,0
"7832","AT3G57062","NINJA_SE",0.178756035494758,0.298182762201454,"AT3G57062.1",0.476938797696212,2.58438742320202,NA,0
"7833","AT3G57070","NINJA_SE",0.263172199998225,1,"AT3G57070.1",1.26317219999822,4.58005977796755,NA,0
"7834","AT3G57080","NINJA_SE",0.479995051436605,1,"AT3G57080.1",1.4799950514366,36.8291845493562,NA,0
"7835","AT3G57090","NINJA_SE",0.2656454163373,0.925804776739356,"AT3G57090.1,AT3G57090.2",1.19145019307666,4.4416149068323,NA,0
"7836","AT3G57120","NINJA_SE",0.258152626009241,0.298182762201454,"AT3G57120.1",0.556335388210695,3.15508493271564,NA,0
"7837","AT3G57150","NINJA_SE",0,0.744340602284527,"AT3G57150.1",0.744340602284527,1.93113691601404,NA,0
"7838","AT3G57157","NINJA_SE",0.45625391273502,0,"0",0.45625391273502,2.57338211479638,NA,0
"7839","AT3G57160","NINJA_SE",0.481134091463986,0.867445482866044,"AT3G57160.2",1.34857957433003,23.1673866090713,NA,0
"7840","AT3G57190","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,1.65673024944011,NA,0
"7841","AT3G57200","NINJA_SE",0.0564993324971456,0,"0",0.0564993324971456,1.34911800773512,NA,0
"7842","AT3G57210","NINJA_SE",0.213033417369829,0,"0",0.213033417369829,1.65653835759237,NA,0
"7843","AT3G57220","NINJA_SE",0.0658990708069551,0,"0",0.0658990708069551,1.36426073131955,NA,0
"7844","AT3G57230","NINJA_SE",0.0635890681720097,0,"0",0.0635890681720097,1.3604540554252,NA,0
"7845","AT3G57280","NINJA_SE",0.387821195896786,0,"0",0.387821195896786,2.22656979761287,NA,0
"7846","AT3G57290","NINJA_SE",0.144637620715053,0.298182762201454,"AT3G57290.1",0.442820382916506,2.39765297569153,NA,0
