"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","DEEPN_score","interactor"
"1879","di4spUb","Erc2",0,0.174111617917689,0.174111617917689,2.1137933595781,0,1
"1880","di4spUb","Ercc4",0,0.165376772946267,0.165376772946267,2.04117056376417,0.009,1
"1881","di4spUb","Ercc5",0,0.151639930677037,0.151639930677037,1.93644529123571,0.01,0
"1882","di4spUb","Ercc6l2",0,0.15176315427113,0.15176315427113,1.93697250204193,0.025,0
"1883","di4spUb","Ercc8",0,0.158179830777607,0.158179830777607,1.98424208618045,0.011,1
"1884","di4spUb","Ergic1",0,0.141726530747984,0.141726530747984,1.86726157278305,0.008,0
"1885","di4spUb","Ergic3",0,0.00796202478499437,0.00796202478499437,1.51034921982804,0.006,1
"1886","di4spUb","Erh",0,0.141103719827073,0.141103719827073,1.86243455497382,0.005,1
"1887","di4spUb","Eri3",0,0.169340943622758,0.169340943622758,2.07095295273442,0.009,0
"1888","di4spUb","Erich3",0,0.132566396825047,0.132566396825047,1.79738520810964,0.007,0
"1889","di4spUb","Erlin2",0,0.154344736102899,0.154344736102899,1.9531914893617,0.01,1
"1890","di4spUb","Ermn",0,0.177289231529976,0.177289231529976,2.1370480231292,0,NA
"1891","di4spUb","Ero1l",0,0.173401084049042,0.173401084049042,2.10301507537688,0,NA
"1892","di4spUb","Esam",0,0.00862623648059187,0.00862623648059187,1.51103087583296,0.005,0
"1893","di4spUb","Esco2",0,0.167594462359146,0.167594462359146,2.05383949191686,0.009,0
"1894","di4spUb","Esf1",0,0.173794368457333,0.173794368457333,2.1044925124792,0,NA
"1895","di4spUb","Esm1",0,0.00961373705457754,0.00961373705457754,1.5145693073259,0.011,0
"1896","di4spUb","Esr1",0,0.00436525650634209,0.00436525650634209,1.49272207506098,0.01,1
"1897","di4spUb","Esrp2",0,0.170115437499005,0.170115437499005,2.07276302851524,0.011,0
"1898","di4spUb","Esyt3",0,0.159728722799022,0.159728722799022,1.99000034963812,0.009,0
"1899","di4spUb","Etaa1",0,0.180087162785796,0.180087162785796,2.15860735009671,0,NA
"1900","di4spUb","Etfdh",0,0.140663980491405,0.140663980491405,1.85382059800664,0.008,0
"1901","di4spUb","Etl4",0,0.17643852711028,0.17643852711028,2.12460338198514,0,NA
"1902","di4spUb","Etnppl",0,0.153640665840638,0.153640665840638,1.94279082468596,0.007,0
"1903","di4spUb","Etv6",0,0.177124789903353,0.177124789903353,2.12889470731251,0,1
"1904","di4spUb","Evi2a",0,0.00587513775400676,0.00587513775400676,1.49660794109913,0.013,1
"1905","di4spUb","Ewsr1",0,0.166362412685324,0.166362412685324,2.03810069469312,0.094,1
"1906","di4spUb","Exo5",0,0.158948380200007,0.158948380200007,1.97989355410999,0.01,0
"1907","di4spUb","Exoc1",0,0.147100767948032,0.147100767948032,1.89442151511117,0.009,0
"1908","di4spUb","Exoc3",0,0.132730724514317,0.132730724514317,1.79082499528035,0.005,1
"1909","di4spUb","Exoc4",0,0.182890018470172,0.182890018470172,2.17760263228374,0,NA
"1910","di4spUb","Exoc6",0,0.153752141463822,0.153752141463822,1.94007567235914,0.009,0
"1911","di4spUb","Exoc6b",0,0.158655029088398,0.158655029088398,1.97618138259088,0.011,0
"1912","di4spUb","Exosc2",0,0.478441808933859,0.478441808933859,4.41243507248624,0.719,1
"1913","di4spUb","Exosc3",0,0.15735263885108,0.15735263885108,1.96634997408879,0.01,0
"1914","di4spUb","Exosc4",0,0.192068487908331,0.192068487908331,2.2685639124716,0,NA
"1915","di4spUb","Exosc7",0,0.00864387041941305,0.00864387041941305,1.50631202858277,0.004,1
"1916","di4spUb","Exosc8",0,0.130418399172444,0.130418399172444,1.77579482699448,0.017,1
"1917","di4spUb","Exph5",0,0.155897603874376,0.155897603874376,1.95453296703297,0.008,0
