"","bait","prey","Enrichment_score","Specificity_score","Sum_scores","Borda_scores","interactor","Interaction_score"
"111","AP2B1","OR10AG1",0.861711460111317,0.16723201092882,1.02894347104014,4.31321732691596,NA,0
"112","AP2B1","p53",0.88211820593692,0.107063743798173,0.989181949735093,3.37485515643105,NA,0
"113","AP2B1","PCNA",0.85050882260101,0.430818236012938,1.28132705861395,12.4465811965812,NA,0
"114","AP2B1","PIAS1",0.902326972853535,0,0.902326972853535,2.05322523792739,NA,0
"115","AP2B1","PLEKHG7",0.900030997474747,0.714422077922078,1.61445307539683,28.5539215686275,NA,0
"116","AP2B1","PPID",0.869387926136364,0.381810714285714,1.25119864042208,11.074144486692,NA,0
"117","AP2B1","PSMC1",0.870777383207071,0.484970031415344,1.35574741462241,15.6586021505376,NA,0
"118","AP2B1","PSMC2",0.871905997474747,0.288080291005291,1.15998628848004,7.78223112892452,NA,0
"119","AP2B1","PSMD2",0.850232481060606,0.169897966447933,1.02013044750854,4.28939617083947,NA,0
"120","AP2B1","PSMD5",0.895470044191919,0.540222933609315,1.43569297780123,20.2256944444444,NA,0
"121","AP2B1","QKI",0.875015498737374,0,0.875015498737374,1.98466780238501,NA,0
"122","AP2B1","RBBP4",0.864796627087199,0.260779671717172,1.12557629880437,6.74971031286211,0,0
"123","AP2B1","RBBP8",0.900030997474747,0.714422077922078,1.61445307539683,28.4146341463415,NA,0
"124","AP2B1","RBFOX2",0.983830066287879,0.337736430551056,1.32156649683894,14.1727493917275,NA,0
"125","AP2B1","RBPMS",0.84257080702862,0,0.84257080702862,1.93296830927493,NA,0
"126","AP2B1","REEP2",0.866233014842301,0.0736157776381594,0.93984879248046,2.89945246391239,NA,0
"127","AP2B1","RING1",0.868527904040404,0.595639064016468,1.46416696805687,19.7457627118644,NA,0
"128","AP2B1","RYBP",0.375403589981447,0.269245379512454,0.644648969493901,3.44470727380248,NA,0
"129","AP2B1","S100A1",0.856097648358586,0.266591623075998,1.12268927143458,6.79696616102684,NA,0
"130","AP2B1","S100B",0.858918350649351,0.570601076802249,1.4295194274516,17.7591463414634,NA,0
"131","AP2B1","S100P",0.859194474953618,0.480384056712963,1.33957853166658,14.5989974937343,NA,0
"132","AP2B1","SARNP",0.371123360442662,0.073695430771022,0.444818791213684,2.02327196943383,NA,0
"133","AP2B1","SH3GLB1",0.854439599116162,0,0.854439599116162,1.89894050529747,NA,0
"134","AP2B1","SH3GLB2",0.374543350649351,0.108332566686805,0.482875917336156,2.23137330013407,NA,0
"135","AP2B1","SNX32",0.358582783216783,0.243058597883598,0.601641381100381,3.17698391055359,NA,0
"136","AP2B1","STMN2",0.854147758838384,0.0861084458458884,0.940256204684272,3.03939472997652,NA,0
"137","AP2B1","STX4",0.840589481621773,0.0770234408515658,0.917612922473339,2.88938492063492,NA,0
"138","AP2B1","SUPT4H1",0.848535684974747,0.0652917612801293,0.913827446254877,2.76656376157682,NA,0
"139","AP2B1","SUPT5H",0.856658080808081,0.176906129460161,1.03356421026824,4.44826269568538,NA,0
"140","AP2B1","TEX11",0.896030476641414,0.574105627204586,1.470136103846,22.4038461538462,NA,0
"141","AP2B1","TOPBP1",0.852742803030303,0.324403884153112,1.17714668718342,8.59144542772861,0,0
"142","AP2B1","TSG101",0.854700441919192,0.155189226885607,1.0098896688048,4.03812824956672,NA,0
"143","AP2B1","UBE2I",0,0.614568452380952,0.614568452380952,2.01208981001727,NA,0
"144","AP2B1","UCHL5",0.398587512059369,0,0.398587512059369,1.47580440841145,NA,0
"145","AP2B1","VAMP2",0.845681185115039,0,0.845681185115039,1.83753943217666,NA,0
"146","AP2B1","VAMP3",0.955272968460111,0.386091752094356,1.34136472055447,16.0247592847318,NA,0
"147","AP2B1","WDR7",0.900030997474747,0.714422077922078,1.61445307539683,28.2766990291262,NA,0
"148","ARL2","ADRM1",0.177779883116883,0.0375231291486966,0.21530301226558,1.65836298932384,NA,0
"149","ARL2","AP2B1",0,0.149479857380936,0.149479857380936,1.94685828877005,NA,0
"150","ARL2","ARL2",0.327700217068646,0.0298058065331396,0.357506023601785,1.76997872986934,NA,0
"151","ARL2","BCL2L2",0.145901373106061,0,0.145901373106061,1.50186927936058,NA,0
"152","ARL2","BIK",0,0.391112577152006,0.391112577152006,2.78508247669137,NA,0
"153","ARL2","BNIP3",0.171570296717172,0.030015306122449,0.201585602839621,1.63394109396914,NA,0
"154","ARL2","BNIP3L",0,0.158490922273515,0.158490922273515,1.92880794701987,NA,0
"155","ARL2","BRMS1",0,0.378156608390659,0.378156608390659,2.67877673028282,NA,0
"156","ARL2","BTG1",0,0.157972503063725,0.157972503063725,1.90483976455199,NA,0
"157","ARL2","CCL14",0.140540074211503,0.0281124344474632,0.168652508658966,1.60225553568973,NA,0
"158","ARL2","CCND2",0,0.133001690854913,0.133001690854913,1.7865358073915,NA,0
"159","ARL2","CCND3",0.750631914656772,0.218938486412109,0.96957040106888,4.59203783996847,NA,0
"160","ARL2","CDK4",0.224940640782828,0.0643462411307696,0.289286881913598,1.81435913409126,NA,0
"161","ARL2","CDK6",0,0.0402915090566595,0.0402915090566595,1.45135168805282,NA,0
"162","ARL2","CDKN1A",0.149656549873737,0,0.149656549873737,1.47580440841145,NA,0
"163","ARL2","CDKN2D",0.109882155844156,0.0314327257218677,0.141314881566024,1.59000955370547,NA,0
"164","ARL2","CEP55",0,0.345650165185293,0.345650165185293,2.45108352619398,NA,0
"165","ARL2","CNOT7",0.796368813131313,0.314016521575058,1.11038533470637,7.26762320648784,NA,0
"166","ARL2","CTBP1",0,0.177337970455551,0.177337970455551,1.88206785137318,0,0
"167","ARL2","DAPK1",0,0.219394141290044,0.219394141290044,2.02046479361776,NA,0
"168","ARL2","DDX39A",0.662611532467532,0.0767748904961921,0.739386422963725,2.49625026783801,NA,0
"169","ARL2","DMRTB1",0.687407107606679,0.220625505048023,0.908032612654702,4.25027362276541,NA,0
"170","ARL2","EIF4EBP2",0.104232204081633,0.00969777290615494,0.113929976987788,1.51397011046134,NA,0
"171","ARL2","EXOSC1",0.199086701298701,0,0.199086701298701,1.48729733180135,NA,0
"172","ARL2","EXOSC5",0,0.0859629754803386,0.0859629754803386,1.53451001053741,NA,0
"173","ARL2","FHL3",0,0.0956094353670231,0.0956094353670231,1.55291922154092,NA,0
"174","ARL2","GAA",0,0.297297391826845,0.297297391826845,2.18820435762585,NA,0
"175","ARL2","IGF2",0,0.107785504201681,0.107785504201681,1.57517577068686,NA,0
"176","ARL2","IKZF1",0,0.0285674164402603,0.0285674164402603,1.349785656355,NA,0
"177","ARL2","IKZF5",0,0.206947344794868,0.206947344794868,1.87389416117098,NA,0
"178","ARL2","KLF3",0.78747324823722,0.025799930136905,0.813273178374125,2.32164208848147,NA,0
"179","ARL2","lam",0.663007155844156,0.316310212971661,0.979317368815817,5.66083576287658,NA,0
"180","ARL2","largeT",0.689095719851577,0.38642668173929,1.07552240159087,7.01807228915663,NA,0
"181","ARL2","LSM2",0.238553756313131,0.0547114043021211,0.293265160615252,1.783800336855,NA,0
"182","ARL2","LSM3",0,0.240702330397224,0.240702330397224,1.94004995836803,NA,0
"183","ARL2","MME",0.257572348484849,0.0328543785935427,0.290426727078391,1.71550581652187,NA,0
"184","ARL2","MORF4L1",0,0.0618291255131753,0.0618291255131753,1.3937073812657,NA,0
"185","ARL2","MRFAP1",0,0.093496070878854,0.093496070878854,1.48049307408819,NA,0
"186","ARL2","MRFAP1L1",0.23223401199495,0.0251345366231273,0.257368548618077,1.66881535596619,NA,0
"187","ARL2","MTA1",0,0.0658424877152789,0.0658424877152789,1.39087870105062,NA,0
"188","ARL2","NMI",0.267441077922078,0,0.267441077922078,1.48672792240939,NA,0
"189","ARL2","OR10AG1",0,0.331745570680514,0.331745570680514,2.0923132183908,NA,0
"190","ARL2","p53",0,0.104158790358249,0.104158790358249,1.47842639593909,NA,0
"191","ARL2","PCNA",0,0.480620681605976,0.480620681605976,2.27007014809041,NA,0
"192","ARL2","PIAS1",0.526983376623377,0,0.526983376623377,1.66499928540803,NA,0
"193","ARL2","PLEKHG7",0,0.177337970455551,0.177337970455551,1.66499928540803,NA,0
"194","ARL2","PPID",0,0.16476850724635,0.16476850724635,1.62459907962627,NA,0
"195","ARL2","PSMC1",0.343597192513369,0.0284273235610033,0.372024516074372,1.77808302808303,NA,0
"196","ARL2","PSMC2",0.759591982323232,0.194308871074746,0.953900853397978,4.2118582791034,NA,0
"197","ARL2","PSMD2",0.289860359925789,0.0497745665300992,0.339634926455888,1.80788330229671,NA,0
"198","ARL2","PSMD5",0.204731439393939,0.0354164402603147,0.240147879654254,1.67601783915983,NA,0
"199","ARL2","QKI",0,0.224905895949023,0.224905895949023,1.76114890400605,NA,0
"200","ARL2","RBBP4",0.247382155844156,0,0.247382155844156,1.44040553907023,NA,0
"201","ARL2","RBBP8",0,0.177337970455551,0.177337970455551,1.61940505977203,NA,0
"202","ARL2","RBFOX2",0,0.163026679534333,0.163026679534333,1.57773564463705,NA,0
"203","ARL2","RBPMS",0.726805287247475,0.123115095363682,0.849920382611156,3.09018567639257,NA,0
"204","ARL2","REEP2",0,0.104292993881763,0.104292993881763,1.40955837870538,NA,0
"205","ARL2","RING1",0,0.263055044228218,0.263055044228218,1.80201082753287,NA,0
"206","ARL2","RYBP",0.18939053030303,0,0.18939053030303,1.39087870105062,NA,0
"207","ARL2","S100A1",0.316593513257576,0.0277734251595375,0.344366938417113,1.75082657048392,NA,0
"208","ARL2","S100B",0.109077682745826,0.0820812880588513,0.191158970804677,1.78434676060652,NA,0
"209","ARL2","S100P",0.25902380050505,0.0561267072654116,0.315150507770462,1.80984930868417,NA,0
"210","ARL2","SARNP",0,0.0612210104844078,0.0612210104844078,1.28374655647383,NA,0
"211","ARL2","SH3GLB1",0,0.213934680639173,0.213934680639173,1.6461777589374,NA,0
"212","ARL2","SNX32",0,0.0747859404652607,0.0747859404652607,1.30240357741755,NA,0
"213","ARL2","STMN2",0.724209722222222,0.352684729568208,1.07689445179043,7.02230259192284,NA,0
"214","ARL2","STX4",0.732909452690167,0.100175719322817,0.833085172012984,2.85959744722631,NA,0
"215","ARL2","SUPT4H1",0,0.331465415390328,0.331465415390328,1.84247983552111,NA,0
"216","ARL2","SUPT5H",0.118176704545455,0.0326258292790801,0.150802533824535,1.59939593629874,NA,0
"217","ARL2","TEX11",0,0.541942790109465,0.541942790109465,2.01452533287221,NA,0
"218","ARL2","TOPBP1",0,0.0765115008323691,0.0765115008323691,1.2788144895719,NA,0
"219","ARL2","TSG101",0.789919965277778,0.0572766409230853,0.847196606200863,2.55987695012085,NA,0
"220","ARL2","UBE2I",0.291756103896104,0.116145316231756,0.40790142012786,2.16060830860534,NA,0
"221","ARL2","UCHL5",0,0.119495424836601,0.119495424836601,1.36193593640402,NA,0
"222","ARL2","VAMP2",0,0.161792298991965,0.161792298991965,1.45443196004994,NA,0
"223","ARL2","VAMP3",0,0.239488614264915,0.239488614264915,1.61581137309293,NA,0
"224","ARL2","WDR7",0,0.177337970455551,0.177337970455551,1.4730054368441,NA,0
"225","BCL2L2","ADRM1",0.75337993135436,0.402520909138466,1.15590084049283,8.48506919155135,NA,0
"226","BCL2L2","AP2B1",0,0.877814929966112,0.877814929966112,3.28631875881523,NA,0
"227","BCL2L2","ARL2",0,0.332325683306481,0.332325683306481,2.66103243490178,NA,0
"228","BCL2L2","BCL2L2",0.357420681318681,0.179280442808741,0.536701124127422,2.68186003683241,NA,0
"229","BCL2L2","BIK",0.809885363416016,0.594121370879721,1.40400673429574,14.5443196004994,1,0
"230","BCL2L2","BNIP3",0,0.0809695034827648,0.0809695034827648,1.64431898376853,1,0
"231","BCL2L2","BNIP3L",0,0.0672987587069119,0.0672987587069119,1.5843873249014,NA,0
"232","BCL2L2","BRMS1",0,0.289889263261297,0.289889263261297,2.43723849372385,NA,0
"233","BCL2L2","BTG1",0,0.0846600691681956,0.0846600691681956,1.63554682016004,NA,0
"234","BCL2L2","CCL14",0,0.545443495344666,0.545443495344666,2.90451259037646,NA,0
"235","BCL2L2","CCND2",0,0.11238255481336,0.11238255481336,1.71298338479635,NA,0
"236","BCL2L2","CCND3",0,0.035434184675835,0.035434184675835,1.45261845386534,NA,0
"237","BCL2L2","CDK4",0,0.121019485986929,0.121019485986929,1.72669334519045,NA,0
"238","BCL2L2","CDK6",0,0.0339980353634578,0.0339980353634578,1.43685249136655,NA,0
"239","BCL2L2","CDKN1A",0,0.11179169194499,0.11179169194499,1.67988464311464,NA,0
"240","BCL2L2","CDKN2D",0,0.0319449901768173,0.0319449901768173,1.42403129201809,0,0
"241","BCL2L2","CEP55",0,0.208981021988298,0.208981021988298,2.00931355639876,NA,0
"242","BCL2L2","CNOT7",0.457665340909091,0.0957539370692612,0.553419277978352,2.28341826734614,NA,0
"243","BCL2L2","CTBP1",0,0.877814929966112,0.877814929966112,2.84632299047154,NA,0
"244","BCL2L2","DAPK1",0,0.436784301920274,0.436784301920274,2.58831370806487,NA,0
"245","BCL2L2","DDX39A",0,0.0851306117975612,0.0851306117975612,1.55748663101604,NA,0
"246","BCL2L2","DMRTB1",0,0.0941766413179548,0.0941766413179548,1.57730842133767,NA,0
"247","BCL2L2","EIF4EBP2",0,0.258291637143141,0.258291637143141,2.12010919017288,NA,0
"248","BCL2L2","EXOSC1",0,0.12021697285594,0.12021697285594,1.6436230248307,NA,0
"249","BCL2L2","EXOSC5",0,0.145468469223732,0.145468469223732,1.71727594339623,NA,0
"250","BCL2L2","FHL3",0,0.877814929966112,0.877814929966112,2.69925857275255,NA,0
"251","BCL2L2","GAA",0.784639294258373,0.502153548624754,1.28679284288313,11.5346534653465,NA,0
"252","BCL2L2","IGF2",0.366200922831254,0.115659866083958,0.481860788915212,2.26653696498054,NA,0
"253","BCL2L2","IKZF1",0.765304797979798,0.524757179412549,1.29006197739235,11.1164122137405,0,0
"254","BCL2L2","IKZF5",0,0.33142387135681,0.33142387135681,2.22710762760466,NA,0
"255","BCL2L2","KLF3",0,0.0719379371316306,0.0719379371316306,1.45225629518823,NA,0
"256","BCL2L2","lam",0,0.109106507662083,0.109106507662083,1.55271224843396,NA,0
"257","BCL2L2","largeT",0,0.312409196772151,0.312409196772151,2.15143120960295,NA,0
"258","BCL2L2","LSM2",0,0.170193069866372,0.170193069866372,1.73234200743494,NA,0
"259","BCL2L2","LSM3",0,0.549054070214402,0.549054070214402,2.44491080797482,NA,0
"260","BCL2L2","MME",0,0.101563231705838,0.101563231705838,1.51161281951473,NA,0
"261","BCL2L2","MORF4L1",0,0.031762278978389,0.031762278978389,1.32266121707539,NA,0
"262","BCL2L2","MRFAP1",0.788546006944444,0.396682853114802,1.18522886005925,9.18769716088328,NA,0
"263","BCL2L2","MRFAP1L1",0,0.209990294722431,0.209990294722431,1.80928715639074,NA,0
"264","BCL2L2","MTA1",0,0.204471942618599,0.204471942618599,1.78571428571429,NA,0
"265","BCL2L2","NMI",0,0.117988816807666,0.117988816807666,1.52826971008789,NA,0
"266","BCL2L2","OR10AG1",0,0.25902990589089,0.25902990589089,1.92689381409196,NA,0
"267","BCL2L2","p53",0,0.110674537131631,0.110674537131631,1.49493134864622,NA,0
"268","BCL2L2","PCNA",0,0.284036585742352,0.284036585742352,1.97323848238482,NA,0
"269","BCL2L2","PIAS1",0,0.0482260787309903,0.0482260787309903,1.32116126105693,NA,0
"270","BCL2L2","PLEKHG7",0,0.877814929966112,0.877814929966112,2.37706590491736,NA,0
"271","BCL2L2","PPID",0,0.0317249508840864,0.0317249508840864,1.27951674903899,NA,0
"272","BCL2L2","PSMC1",0,0.541909114205176,0.541909114205176,2.26345443947931,NA,0
"273","BCL2L2","PSMC2",0,0.450254736573912,0.450254736573912,2.19314759036145,NA,0
"274","BCL2L2","PSMD2",0,0.260027524606099,0.260027524606099,1.864,NA,0
"275","BCL2L2","PSMD5",0,0.242820718196719,0.242820718196719,1.81379417717577,NA,0
"276","BCL2L2","RBBP4",0,0.166951819194688,0.166951819194688,1.60071448200055,NA,0
"277","BCL2L2","RBBP8",0,0.877814929966112,0.877814929966112,2.28520988622989,NA,0
"278","BCL2L2","RBFOX2",0,0.15265007854487,0.15265007854487,1.55064554771729,NA,0
"279","BCL2L2","RBPMS",0,0.0659310144668691,0.0659310144668691,1.32056223078667,NA,0
"280","BCL2L2","REEP2",0,0.161686579972737,0.161686579972737,1.55811154206232,NA,0
"281","BCL2L2","RING1",0,0.291121703620545,0.291121703620545,1.86131969963253,NA,0
"282","BCL2L2","RYBP",0,0.182531665009017,0.182531665009017,1.59523483499932,NA,0
